,PLACE NAME,SUPERFICIE TOTAL EN M2,PRECIO USD POR M2,PRICE,CURRENCY,PRECIO USD,TIPO DE PROPIEDAD,CANTIDAD,ZONAS COMUNALES,ambientes_regex,parrilla_regex,cochera_regex,pileta_regex,sum_regex,solarium_regex,gym_regex,balcon_regex,jardin_regex,lavadero_regex,estrenar_regex,quincho_regex,patio_regex
1750,caballito,90.02739726027397,1099.6652465003044,99000.0,usd,99000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,0,0,0,0,0,0,0,1,0,0,0
1751,recoleta,169.0,3017.751479289941,510000.0,usd,510000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,1,0,0,0,0,1,0,1,0,0,0
1752,palermosoho,125.0,2064.0,258000.0,usd,258000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,1
1753,villaluro,106.75,1124.1217798594848,120000.0,usd,120000.0,ph,1.0,ZONA OESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,1
1754,villapueyrredón,310.0,903.2258064516129,280000.0,usd,280000.0,house,1.0,ZONA NORTE COMUNAL,3,1,0,0,0,0,0,0,1,0,0,0,1
1755,villareal,146.0,1061.6438356164383,155000.0,usd,155000.0,ph,1.0,ZONA OESTE COMUNAL,4,0,0,0,0,0,0,1,0,0,0,0,0
1756,palermo,96.20251572327044,3097.6320916306013,298000.0,usd,298000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,1,1,1,0,1,1,1,1,0,0,0
1757,villaurquiza,78.95338983050847,1963.1835989910376,155000.0,usd,155000.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,1,0,0,0,0,1,0,0,0,0,0
1758,villacrespo,130.6829268292683,5356.476297125793,700000.0,usd,700000.0,store,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1759,palermo,96.20251572327044,1538.4213072527818,148000.0,usd,148000.0,apartment,1.0,ZONA NORTE COMUNAL,0,1,0,1,1,1,1,0,0,1,0,0,0
1760,palermo,96.20251572327044,1486.4476144401879,143000.0,usd,143000.0,apartment,1.0,ZONA NORTE COMUNAL,0,1,0,1,1,1,1,0,0,1,0,0,0
